show_id,type,title,director,cast,country,date_added,release_year,duration,description,genre
s00000,Movie,Urban Legends 12,nan,"Actor C, Actor D, Actor E",Mexico,12/1/2012,1992,82,A heartwarming story of friendship.,"Horror, Comedy, Sci-Fi"
s00001,TV Show,Medical Heroes,Maria Garcia,"Actor B, Actor E",United States,1/8/2012,1969,5 Season(s),A documentary about nature.,"Documentary, Thriller"
s00002,TV Show,Space Explorers,nan,"Actor D, Actor C, Actor A, Actor E",France,9/19/2015,1978,1 Season(s),A documentary about nature.,Romance
s00003,Movie,Final Frontier 1800,Maria Garcia,Actor B,Germany,12/1/2021,1978,100,A romantic tale set in a distant land.,"Action, Children & Family, Romance"
s00004,Movie,Starlight Journey 1751,Maria Garcia,"Actor D, Actor C, Actor E",Germany,4/5/2017,2000,85,An intense drama about life choices.,"Drama, Comedy, Action"
s00005,Movie,Ocean Mysteries 374,Christopher Nolan,"Actor C, Actor E, Actor D, Actor B",United States,7/23/2021,2011,160,A heartwarming story of friendship.,"Drama, Children & Family"
s00006,Movie,Wild Expedition 710,Jane Doe,"Actor B, Actor E, Actor A",India,11/21/2013,1997,109,A romantic tale set in a distant land.,Drama
s00007,TV Show,Space Explorers,James Cameron,"Actor B, Actor E, Actor C",Australia,2/27/2018,2000,4 Season(s),A thrilling adventure about discovery.,"Action, Drama"
s00008,Movie,Hidden Truth 1113,Jane Doe,"Actor B, Actor E, Actor C",United Kingdom,4/26/2010,1999,138,A family movie for all ages.,"Sci-Fi, Drama, Action"
s00009,TV Show,Beyond Borders,nan,"Actor B, Actor E",India,2/1/2020,2020,6 Season(s),A romantic tale set in a distant land.,"Action, Drama"
s00010,Movie,Urban Legends 1595,Jane Doe,,United States,7/9/2022,1970,86,An action-packed thriller.,"Documentary, Comedy"
s00011,TV Show,Tech Wars,John Smith,Actor A,India,12/15/2011,2019,8 Season(s),A mystery that will keep you guessing.,Thriller
s00012,TV Show,Mystery Valley,Jane Doe,"Actor E, Actor A",South Korea,9/23/2019,2022,3 Season(s),An action-packed thriller.,"Documentary, Horror"
s00013,Movie,Digital Ghost 1562,Christopher Nolan,"Actor C, Actor A",India,9/18/2021,2010,85,A heartwarming story of friendship.,"Comedy, Action, Drama"
s00014,Movie,Urban Legends 1312,John Smith,"Actor C, Actor A, Actor B",Canada,3/1/2013,1991,173,A sci-fi exploration of future technology.,"Comedy, Sci-Fi, Action"
s00015,Movie,Future Shock 1040,Steven Spielberg,Actor A,India,10/16/2015,1991,152,An action-packed thriller.,"Comedy, Action"
s00016,Movie,Secret Agent X 401,Steven Spielberg,Actor D,India,4/6/2015,1974,89,A mystery that will keep you guessing.,"Documentary, Sci-Fi, Drama"
s00017,Movie,Secret Agent X 1806,Christopher Nolan,"Actor C, Actor E, Actor B, Actor A",United States,3/20/2017,1989,90,An action-packed thriller.,"Comedy, Romance, Documentary"
s00018,Movie,Urban Legends 629,Jane Doe,"Actor E, Actor D, Actor B, Actor A",United States,1/20/2021,1990,177,A romantic tale set in a distant land.,"Sci-Fi, Children & Family, Thriller"
s00019,Movie,Secret Agent X 137,nan,"Actor A, Actor C, Actor E",India,12/14/2019,1993,85,A mystery that will keep you guessing.,"Children & Family, Thriller"
s00020,Movie,Final Frontier 688,James Cameron,"Actor D, Actor B, Actor E, Actor A",Japan,4/28/2020,1994,87,A family movie for all ages.,Drama
s00021,Movie,Time Paradox 1522,Jane Doe,"Actor D, Actor E, Actor A",India,9/26/2012,1992,135,A sci-fi exploration of future technology.,"Drama, Thriller"
s00022,Movie,Hidden Truth 1247,David Lee,"Actor A, Actor D, Actor B, Actor C",United Kingdom,5/18/2019,2010,84,A romantic tale set in a distant land.,Drama
s00023,Movie,Broken Chains 935,Steven Spielberg,,United Kingdom,11/10/2015,1979,86,A thrilling adventure about discovery.,"Action, Romance"
s00024,Movie,Cyber Revolution 402,nan,,United States,4/19/2015,1967,177,A thrilling adventure about discovery.,"Action, Horror, Comedy"
s00025,TV Show,Family Ties,Maria Garcia,Actor C,Mexico,12/19/2018,1991,4 Season(s),A heartwarming story of friendship.,"Comedy, Action"
s00026,Movie,Future Shock 615,John Smith,Actor A,India,2/23/2018,1961,74,A comedy that will make you laugh.,Children & Family
s00027,Movie,Starlight Journey 1550,Maria Garcia,"Actor A, Actor B, Actor C, Actor E",United States,,1987,92,An action-packed thriller.,"Action, Romance"
s00028,Movie,Cyber Revolution 620,Steven Spielberg,Actor D,United States,11/26/2022,1995,86,A mystery that will keep you guessing.,Thriller
s00029,Movie,Digital Ghost 1122,David Lee,Actor A,nan,3/2/2013,1999,77,A romantic tale set in a distant land.,"Action, Drama"
s00030,Movie,Cyber Revolution 805,Jane Doe,Actor C,United States,6/5/2011,1968,88,A thrilling adventure about discovery.,"Sci-Fi, Drama"
s00031,Movie,Neon Nights 936,nan,"Actor B, Actor C, Actor D",Australia,6/5/2013,2009,126,A sci-fi exploration of future technology.,"Drama, Romance, Children & Family"
